epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,255.365,1.05493,1.00358,2.13234,0.88222,0.56106,0.7008,0.42607,3.27164,4.34302,2.58609,1.68333e-05,1.68333e-05,1.68333e-05
86,257.203,1.22372,1.17209,2.14777,0.88222,0.56106,0.7008,0.42607,3.27164,4.34302,2.58609,1.60323e-05,1.60323e-05,1.60323e-05
87,259.053,1.14989,1.22749,1.96639,0.88222,0.56106,0.7008,0.42607,3.27164,4.34302,2.58609,1.52077e-05,1.52077e-05,1.52077e-05
88,260.851,1.2122,1.44602,2.4966,0.88315,0.56003,0.6975,0.42505,3.28743,4.3464,2.61948,1.43596e-05,1.43596e-05,1.43596e-05
89,262.575,1.97353,1.23791,2.88356,0.88315,0.56003,0.6975,0.42505,3.28743,4.3464,2.61948,1.34879e-05,1.34879e-05,1.34879e-05
90,264.358,1.2048,0.96246,1.93059,0.88315,0.56003,0.6975,0.42505,3.28743,4.3464,2.61948,1.25927e-05,1.25927e-05,1.25927e-05
91,266.11,0.8574,0.62567,1.72367,0.88315,0.56003,0.6975,0.42505,3.28743,4.3464,2.61948,1.16739e-05,1.16739e-05,1.16739e-05
92,267.933,1.19383,1.00633,1.79356,0.89663,0.55291,0.69523,0.45261,3.25314,4.18897,2.6519,1.07315e-05,1.07315e-05,1.07315e-05
93,269.686,0.71389,0.62273,1.76151,0.89663,0.55291,0.69523,0.45261,3.25314,4.18897,2.6519,9.76562e-06,9.76562e-06,9.76562e-06
94,271.423,0.93087,0.87228,1.69535,0.89663,0.55291,0.69523,0.45261,3.25314,4.18897,2.6519,8.77613e-06,8.77613e-06,8.77613e-06
95,273.174,0.80317,0.57885,1.73554,0.89663,0.55291,0.69523,0.45261,3.25314,4.18897,2.6519,7.76308e-06,7.76308e-06,7.76308e-06
96,275.007,0.74964,0.55478,1.84788,0.89104,0.55157,0.6925,0.45094,3.19551,4.15335,2.63522,6.72648e-06,6.72648e-06,6.72648e-06
97,276.757,1.06792,0.73781,1.80387,0.89104,0.55157,0.6925,0.45094,3.19551,4.15335,2.63522,5.6663e-06,5.6663e-06,5.6663e-06
98,278.522,0.85084,0.59612,1.73918,0.89104,0.55157,0.6925,0.45094,3.19551,4.15335,2.63522,4.58257e-06,4.58257e-06,4.58257e-06
99,280.237,0.987,0.62397,1.84951,0.89104,0.55157,0.6925,0.45094,3.19551,4.15335,2.63522,3.47528e-06,3.47528e-06,3.47528e-06
100,282.147,0.73769,0.65968,1.71704,0.69383,0.65,0.69359,0.45375,3.19676,4.06938,2.63762,2.34442e-06,2.34442e-06,2.34442e-06
